waschen,hat gewaschen,wasche
schminken,hat geschminkt,schmink
rasieren,hat rasiert,rasier
duschen,hat geduscht,dusch
kämmen,hat gekämmt,kämme
anziehen,hat angezogen,zieh an
fühlen,hat gefühlt,fühl
unterhalten,hat unterhalten,unterhalte
treffen,hat getroffen,triff
freuen,hat gefreut,freu
beeilen,hat beeilt,beeile
dauern,hat gedauert,dauere
interessieren,hat interessiert,interessiere
ärgern,hat geärgert,ärgere
streiten,hat gestritten,streite
erinnern,hat erinnert,erinnere
beschweren,hat beschwert,beschwere
verstehen,hat verstanden,verstehe
ausruhen,hat ausgeruht,ruh aus
verstecken,hat versteckt,verstecke
verabreden,hat verabredet,verabrede
0,0 0,0
verwenden,hat verwendet,verwende
eincremen,hat eingecremt,crem ein
bestellen,hat bestellt,bestell
bezahlen,hat bezahlt,bezahle
probieren,hat probiert,probiere
gefallen,hat gefallen,gefalle
reservieren,hat reserviert,reservier
schmecken,hat geschmeckt,schmecke
weitergeben,hat weitergegeben,gib weiter
werfen,hat geworfen,wirf
